Runner Jul  1 2013 11:24:59
Bernhard Manfred Gruber
Duration: 1min 4s 772ms


Matrix multiplication (Tiles, AMD);GPU CL
size;init time;upload time mean ;upload time deviation;run time mean;run time deviation;download time mean;download time deviation;cleanup time;wg size;up run down sum;result
3200;0.003277;0.145311;0.004167;0.298085;0.061958;0.011667;0.005569;0.000037;32;0.455063;SUCCESS
3300;0.086332;0.192933;0.005742;0.334296;0.033754;0.011765;0.004681;0.000039;32;0.538994;SUCCESS
3400;0.561418;0.463223;0.354831;0.336073;0.049705;0.013119;0.006238;0.000028;32;0.812414;SUCCESS
3500;0.070217;0.215445;0.019523;0.346212;0.045113;0.013618;0.006165;0.000027;32;0.575275;SUCCESS
3600;0.068322;0.212462;0.009105;0.393106;0.050099;0.011970;0.003051;0.000038;32;0.617538;SUCCESS
3700;0.003247;0.344936;0.055473;0.475800;0.040958;0.024223;0.019342;0.000037;32;0.844959;SUCCESS
3800;0.003469;0.376139;0.122740;0.409725;0.034309;0.013293;0.003312;0.000037;32;0.799156;SUCCESS
3900;0.020223;0.278896;0.030196;0.424286;0.027665;0.020699;0.012706;0.000030;32;0.723880;SUCCESS
4000;0.003440;0.348315;0.086998;0.466673;0.060149;0.027373;0.020999;0.000026;32;0.842362;SUCCESS

